Locus_Tag,T6_HL58G,T7_HL58G,T8_HL58G,T9_HL58G,T10_HL58G,T11_HL58G,T12_HL58G,T13_HL58G,T14_HL58G,T15_HL58G,T21_HL58X,T22_HL58X,T23_HL58X,T24_HL58X
hotlake_ucc_85139,0,1,2,1,1,0,0,0,0,0,0,0,0,0
HL_58_ARTIFICIAL_EXON,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotlake_ucc_85140,3,3,1,5,2,0,0,0,0,0,0,0,0,0
hotlake_ucc_80896,38,30,46,29,14,3,1,1,1,0,0,0,0,1
hotlake_ucc_80897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotlake_ucc_80898,257,143,263,384,184,41,53,57,59,50,78,57,43,294
hotlake_ucc_80900,310,252,279,237,224,38,184,74,65,153,18,4,3,17
hotlake_ucc_80901,3168,2503,2653,3257,2892,944,1671,2956,1622,1260,289,190,162,498
hotlake_ucc_80902,260,205,187,194,216,76,173,187,111,126,21,8,8,21
hotlake_ucc_80903,30,9,26,26,15,1,24,7,4,19,3,1,0,3
hotlake_ucc_80904,1396,943,1097,947,1097,159,739,444,344,624,45,25,23,85
hotlake_ucc_80905,622,490,587,438,527,61,288,139,90,195,11,4,5,23
hotlake_ucc_80906,1544,1086,1425,1171,1317,166,779,441,289,612,40,17,23,55
hotlake_ucc_80907,1716,1470,1550,1435,1472,176,450,498,417,354,21,11,7,31
hotlake_ucc_80908,1119,957,1149,971,1114,146,372,377,319,271,13,5,8,14
hotlake_ucc_80909,32060,19255,25304,35382,23768,1213,2869,3496,1840,2340,218,157,114,936
hotlake_ucc_80910,6788,4149,4943,5348,4560,247,730,921,472,505,57,21,12,165
hotlake_ucc_80911,9608,6209,8497,8739,7882,497,1426,1751,895,991,64,37,23,285
hotlake_ucc_80912,2614,2246,2535,2382,1894,205,445,623,309,362,13,6,7,70
hotlake_ucc_80913,1638,1348,1467,1181,1332,138,524,319,238,388,24,20,15,69
hotlake_ucc_80914,1037,753,891,679,787,98,365,267,179,311,23,15,14,38
hotlake_ucc_80915,2048,1441,1777,1386,1662,214,756,488,404,616,67,42,40,117
hotlake_ucc_80916,2306,1745,2324,1951,1989,114,735,566,375,572,87,49,26,125
hotlake_ucc_80917,416,327,393,357,392,64,232,157,115,159,14,19,14,49
hotlake_ucc_80919,1208,903,1158,1178,1307,101,590,443,332,449,38,26,31,38
hotlake_ucc_80921,173,149,177,127,164,14,75,44,40,44,3,5,6,7
hotlake_ucc_80922,353,281,370,262,290,36,177,112,66,106,6,2,1,21
hotlake_ucc_80923,2158,1897,2381,2080,2390,248,1082,709,547,769,43,47,24,72
hotlake_ucc_80924,952,650,899,643,856,140,445,369,286,343,25,25,20,42
hotlake_ucc_80925,365893,316753,428087,267650,321308,20146,35405,32297,26903,26695,11045,6186,7124,39179
hotlake_ucc_80926,826,584,751,536,795,63,308,253,136,230,21,11,10,44
hotlake_ucc_80927,416,306,400,318,399,213,872,407,299,723,13,5,3,27
hotlake_ucc_80928,1093,819,1047,1090,1236,192,1243,466,400,1046,40,41,24,103
hotlake_ucc_80929,2183,1706,2107,2008,2002,135,713,427,322,691,50,38,44,100
hotlake_ucc_80930,402,347,403,292,362,31,222,70,85,178,16,3,4,25
hotlake_ucc_80931,1911,1401,2019,1743,2146,490,3253,1354,980,2199,161,126,140,569
hotlake_ucc_80932,2878,2474,2830,2500,2559,325,866,878,621,808,70,39,23,113
hotlake_ucc_80933,1454,1129,1338,1043,1115,149,314,380,288,277,36,6,22,38
hotlake_ucc_80934,1179,1059,1111,1009,1191,119,489,329,237,335,35,13,9,100
hotlake_ucc_80935,1983,1336,2075,1922,1949,636,2171,1513,1041,1518,52,23,26,156
hotlake_ucc_80936,1035,981,1007,999,1180,322,1081,735,681,789,40,22,19,90
hotlake_ucc_80937,3359,2787,3738,3360,3645,1321,3578,2711,2024,2404,103,54,59,276
hotlake_ucc_80938,1056,1065,1046,1031,1151,489,937,637,512,650,24,13,8,37
hotlake_ucc_80939,3557,2955,3759,3292,3609,782,2771,1835,1467,1878,108,60,56,141
hotlake_ucc_80940,3512,2450,3094,2879,3198,121,798,273,233,711,85,47,23,208
hotlake_ucc_80941,2241,1544,2020,1872,1932,69,482,259,139,422,37,23,19,99
hotlake_ucc_80942,1599,1118,1536,1199,1492,177,793,420,280,608,48,25,23,90
hotlake_ucc_80943,968,799,840,692,856,96,449,229,165,348,30,20,10,50
hotlake_ucc_80944,129,108,137,107,123,27,45,37,29,31,15,3,10,10
hotlake_ucc_80946,133,120,137,118,137,32,110,56,42,110,11,11,6,15
hotlake_ucc_80947,1722,1239,1471,1228,1351,132,567,346,219,500,45,24,15,85
hotlake_ucc_80948,357,259,333,259,277,31,114,73,61,99,13,7,8,18
hotlake_ucc_80949,698,484,587,457,477,40,145,184,165,138,24,19,20,25
hotlake_ucc_80950,2461,1829,2113,1689,1842,223,530,613,449,483,107,58,78,100
hotlake_ucc_80951,430,352,455,350,402,28,109,117,72,114,15,3,1,12
