GeneID,Acc_num,Main_Role,Subrole,Product ,Gene
hotlake_ucc_124538,CY41DRAFT_0125,Nucleic acid metabolism,DNA replication_ recombination_ and repair,DNA repair protein radc ,
hotlake_ucc_124539,CY41DRAFT_0132,Nucleic acid metabolism,DNA replication_ recombination_ and repair,Nucleotidyltransferase/DNA polymerase involved in DNA repair ,
hotlake_ucc_124540,CY41DRAFT_0143,Mobile and extrachromosomal element functions,Selfish genetic elements,IS3 family transposase,
hotlake_ucc_124541,CY41DRAFT_0145,,,transcriptional regulator-like protein,
hotlake_ucc_124542,CY41DRAFT_0180,,,hypothetical protein,
hotlake_ucc_124543,CY41DRAFT_0217,,,transposase,
hotlake_ucc_124544,CY41DRAFT_0235,,,hypothetical protein ,
hotlake_ucc_124545,CY41DRAFT_0237,,,hypothetical protein ,
hotlake_ucc_124546,CY41DRAFT_0477,,,hypothetical protein ,
hotlake_ucc_124547,CY41DRAFT_0483,,,toxin-antitoxin system AbiEii family toxin component,
hotlake_ucc_124548,CY41DRAFT_0515,,,toxin-antitoxin system toxin component,
hotlake_ucc_124549,CY41DRAFT_0637,Regulatory functions,DNA interactions,LysR family transcriptional regulator,
hotlake_ucc_124550,CY41DRAFT_0641,,,hypothetical protein,
hotlake_ucc_124551,CY41DRAFT_0747,,,IS30 family transposase,
hotlake_ucc_124552,CY41DRAFT_0923,,,hypothetical protein,
hotlake_ucc_124553,CY41DRAFT_1011,,,Uncharacterized conserved protein ,
hotlake_ucc_124554,CY41DRAFT_1021,,,hypothetical protein,
hotlake_ucc_124555,CY41DRAFT_1342,Mobile and extrachromosomal element functions,Bacteriophage and virus functions,Phage protein D ,
hotlake_ucc_124556,CY41DRAFT_1345,,,hypothetical protein,
hotlake_ucc_124557,CY41DRAFT_1351,,,hypothetical protein,
hotlake_ucc_124558,CY41DRAFT_1418,,,hypothetical protein,
hotlake_ucc_124559,CY41DRAFT_1478,Transport and binding proteins,Unknown substrate::Anions,nitrate/nitrite uptake transporter NarK,narK
hotlake_ucc_124560,CY41DRAFT_1513,,,Archaeal fructose-1_6-bisphosphatase and related enzymes of inositol monophosphatase family ,
hotlake_ucc_124561,CY41DRAFT_1546,,,ABC-type Fe3+-hydroxamate uptake system substrate-binding component,
hotlake_ucc_124562,CY41DRAFT_1552,Mobile and extrachromosomal element functions,Selfish genetic elements,transposase,
hotlake_ucc_124563,CY41DRAFT_1564,,,toxin-antitxoin system antidote component,
hotlake_ucc_124564,CY41DRAFT_1574,,,hypothetical protein,
hotlake_ucc_124565,CY41DRAFT_1746,,,Protein of unknown function (DUF3265) ,
hotlake_ucc_124566,CY41DRAFT_1889,,,hypothetical protein,
hotlake_ucc_124567,CY41DRAFT_1940,,,hypothetical protein,
hotlake_ucc_124568,CY41DRAFT_1942,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,Predicted nucleoside-diphosphate sugar epimerases /putative xylose isomerase,
hotlake_ucc_124569,CY41DRAFT_2077,,,DNA-3-methyladenine glycosylase I (EC 3.2.2.20) ,
hotlake_ucc_124570,CY41DRAFT_2086,,,hypothetical protein ,
hotlake_ucc_124572,CY41DRAFT_2229,,,IS1380 family transposase,
hotlake_ucc_124573,CY41DRAFT_2231,,,ISL3 family transposase,
hotlake_ucc_124574,CY41DRAFT_2241,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,DnaJ-class molecular chaperone with C-terminal Zn finger domain,
hotlake_ucc_124575,CY41DRAFT_2251,,,type 11 methyltransferase,
hotlake_ucc_124577,CY41DRAFT_2432,,,hypothetical protein,
hotlake_ucc_124578,CY41DRAFT_2509,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,Lipopolysaccharide biosynthesis proteins_ LPS:glycosyltransferases ,
hotlake_ucc_124579,CY41DRAFT_2517,,,hypothetical protein,
hotlake_ucc_124580,CY41DRAFT_2802,Mobile and extrachromosomal element functions,Bacteriophage and virus functions,Site-specific recombinase XerD ,
hotlake_ucc_124581,CY41DRAFT_2885,,,hypothetical protein,
hotlake_ucc_124582,CY41DRAFT_2925,,,hypothetical protein,
hotlake_ucc_124583,CY41DRAFT_2960,,,hypothetical protein,
hotlake_ucc_124584,CY41DRAFT_3128,Cell structure_ growth_ and death,Toxin-antitoxin systems,toxin-antitoxin system HigA family antidote component,
hotlake_ucc_124585,CY41DRAFT_3218,,,hypothetical protein,
hotlake_ucc_124586,CY41DRAFT_3232,,,toxin-antitoxin system Doc family toxin,
hotlake_ucc_124587,CY41DRAFT_3389,,,hypothetical protein,
hotlake_ucc_124817,CY41DRAFT_3464,,,,
hotlake_ucc_124818,CY41DRAFT_3465,,,,
hotlake_ucc_124819,CY41DRAFT_3466,,,,
hotlake_ucc_124820,CY41DRAFT_3467,,,,
hotlake_ucc_69342,CY41DRAFT_0001,Intracellular trafficking_ assembly_ and processing::Unknown function,Protein export_ secretion_ and sorting::General,adhesin,
hotlake_ucc_69343,CY41DRAFT_0002,,,hypothetical protein,
hotlake_ucc_69344,CY41DRAFT_0003,Regulatory functions,General::Small molecule interactions,sensory protein with EAL and GGDEF domains,
hotlake_ucc_69345,CY41DRAFT_0004,,,transglutaminase-like cysteine proteinase,
